Docket Number,Violation Date,Violation Address,Issuing Department Code,Imposed Fine Detailed
20DS75981L,01/21/2020,2701 W POPE JOHN PAUL II DR,STRTSAN,$500.00
20DS75985L,01/21/2020,1958 W 47TH ST,STRTSAN,$150.00
20DS75986L,01/22/2020,4949 S SEELEY AVE,STRTSAN,$50.00
20DS75992L,01/22/2020,2419 W POPE JOHN PAUL II DR,STRTSAN,$50.00
20DS75994L,01/21/2020,4448 S WESTERN AVE,STRTSAN,$150.00
20DS75994L,01/21/2020,4448 S WESTERN AVE,STRTSAN,$300.00
20DS75995L,01/22/2020,2439 W POPE JOHN PAUL II DR,STRTSAN,$500.00
20DS76000L,01/22/2020,4959 S DAMEN AVE,STRTSAN,$500.00
20DS76001L,01/22/2020,4534 S ROCKWELL ST,STRTSAN,$150.00
20DS76007L,01/22/2020,2036 W ESTES AVE,STRTSAN,$500.00
20DS76024L,01/22/2020,7747 S PHILLIPS AVE,STRTSAN,$150.00
20DS76026L,01/22/2020,1631 W MORSE AVE,STRTSAN,$150.00
20DS76027L,01/22/2020,5644 S WESTERN AVE,STRTSAN,$500.00
20DS76031L,01/22/2020,5941 S WOOD ST,STRTSAN,$0.00
20DS76031L,01/22/2020,5941 S WOOD ST,STRTSAN,$500.00
20DS76032L,01/24/2020,4504 S WOODLAWN AVE,STRTSAN,$150.00
20DS76051L,01/23/2020,2257 W FOSTER AVE,STRTSAN,$50.00
20DS76052L,01/23/2020,1757 W 18TH ST,STRTSAN,$500.00
20DS76055L,01/22/2020,749 W CORNELIA AVE,STRTSAN,$500.00
20DS76064L,01/22/2020,4945 S HOYNE AVE,STRTSAN,$150.00
20DS76065L,01/22/2020,4956 S HOYNE AVE,STRTSAN,$150.00
20DS76077L,01/21/2020,4326 S WESTERN AVE,STRTSAN,$0.00
20DS76077L,01/21/2020,4326 S WESTERN AVE,STRTSAN,$50.00
20DS76079L,01/22/2020,11914 S LOWE AVE,STRTSAN,$0.00
20DS76087L,01/22/2020,5055 S WINCHESTER AVE,STRTSAN,$150.00
20DS76094L,01/21/2020,4363 S ARCHER AVE,STRTSAN,$150.00
20DS76115L,01/22/2020,6501 S HERMITAGE AVE,STRTSAN,$50.00
20DS76120L,01/22/2020,2501 E 79TH ST,STRTSAN,$500.00
20DS76122L,01/22/2020,5601 S DAMEN AVE,STRTSAN,$150.00
20DS76124L,01/22/2020,579 W HAWTHORNE PL,STRTSAN,$150.00
20DS76128L,01/22/2020,4426 S GREENWOOD AVE,STRTSAN,$150.00
20DS76129L,01/21/2020,2459 W PETERSON AVE,STRTSAN,$150.00
20DS76133L,01/21/2020,2457 W PETERSON AVE,STRTSAN,$150.00
20DS76139L,01/21/2020,4442 S WESTERN AVE,STRTSAN,$150.00
20DS76159L,01/22/2020,4200 S ROCKWELL ST,STRTSAN,$500.00
20DS76168L,01/22/2020,6500 S MARSHFIELD AVE,STRTSAN,$500.00
20DS76169L,01/22/2020,1756 W 48TH ST,STRTSAN,$0.00
20DS76173L,01/24/2020,2256 N LAMON AVE,STRTSAN,$0.00
20DS76173L,01/24/2020,2256 N LAMON AVE,STRTSAN,$500.00
20DS76178L,01/22/2020,2445 W POPE JOHN PAUL II DR,STRTSAN,$50.00
20DS76186L,01/21/2020,4500 S WESTERN AVE,STRTSAN,$150.00
20DS76199L,01/22/2020,4803 S SEELEY AVE,STRTSAN,$150.00
20DS76201L,01/22/2020,4738 S DAMEN AVE,STRTSAN,$150.00
20DS76208L,01/26/2020,831 E OAKWOOD BLVD,STRTSAN,$0.00
20DS76208L,01/26/2020,831 E OAKWOOD BLVD,STRTSAN,$150.00
20DS76210L,01/22/2020,2034 W 51ST ST,STRTSAN,$500.00
20DS76212L,01/24/2020,2341 W FOSTER AVE,STRTSAN,$150.00
20DS76218L,01/22/2020,4539 S GREENWOOD AVE,STRTSAN,$500.00
20DS76224L,01/22/2020,4801 S WESTERN AVE,STRTSAN,$150.00
20DS76242L,01/23/2020,1623 W THORNDALE AVE,STRTSAN,$150.00
20DS76255L,01/24/2020,2321 W FOSTER AVE,STRTSAN,$50.00
20DS76268L,01/22/2020,4537 S GREENWOOD AVE,STRTSAN,$500.00
20DS76293L,01/22/2020,4955 S HOYNE AVE,STRTSAN,$50.00
20DS76304L,01/22/2020,5048 S DAMEN AVE,STRTSAN,$500.00
20DS76329L,01/22/2020,4314 S GREENWOOD AVE,STRTSAN,$50.00
20DS76337L,01/24/2020,2343 W FOSTER AVE,STRTSAN,$150.00
20DS76344L,01/22/2020,2023 W 50TH ST,STRTSAN,$500.00
20DS76449L,01/21/2020,4829 S KEDZIE AVE,STRTSAN,$0.00
20DS76449L,01/21/2020,4829 S KEDZIE AVE,STRTSAN,$150.00
20DS76635L,01/22/2020,2916 W POPE JOHN PAUL II DR,STRTSAN,$150.00
20DS76679L,01/21/2020,7450 N SHERIDAN RD,STRTSAN,$150.00
20DS76774L,01/23/2020,4605 N HERMITAGE AVE,STRTSAN,$0.00
20DS76779L,11/14/2019,4324 S DREXEL BLVD,STRTSAN,$150.00
20DS76790L,01/13/2020,6163 N NORTHWEST HWY,STRTSAN,$0.00
20DS76790L,01/13/2020,6163 N NORTHWEST HWY,STRTSAN,$500.00
20DS76790L,01/13/2020,6163 N NORTHWEST HWY,STRTSAN,$600.00
20DS77078L,01/21/2020,2545 W PETERSON AVE,STRTSAN,$150.00
20DS77140L,01/31/2020,6349 S WESTERN AVE,STRTSAN,$0.00
20DS77140L,01/31/2020,6349 S WESTERN AVE,STRTSAN,$500.00
20DS77140L,01/31/2020,6349 S WESTERN AVE,STRTSAN,$600.00
20DS77140L,01/31/2020,6349 S WESTERN AVE,STRTSAN,"$1,200.00"
20DS77340L,02/07/2020,2668 N LINCOLN AVE,STRTSAN,$0.00
20DS77340L,02/07/2020,2668 N LINCOLN AVE,STRTSAN,$150.00
20DS77372L,01/22/2020,7901 S KINGSTON AVE,STRTSAN,$500.00
20DS77386L,02/07/2020,5000 S WOLCOTT AVE,STRTSAN,$0.00
20DS77386L,02/07/2020,5000 S WOLCOTT AVE,STRTSAN,$150.00
20DS77441L,01/22/2020,4409 S ROCKWELL ST,STRTSAN,$0.00
20DS77441L,01/22/2020,4409 S ROCKWELL ST,STRTSAN,$150.00
20DS77477L,01/22/2020,4438 S GREENWOOD AVE,STRTSAN,$0.00
20DS77477L,01/22/2020,4438 S GREENWOOD AVE,STRTSAN,$150.00
20DS77693L,02/14/2020,6612 S LOOMIS BLVD,STRTSAN,$0.00
20DS77695L,02/14/2020,2557 W 45TH ST,STRTSAN,$0.00
20DS77717L,01/21/2020,4524 S WESTERN AVE,STRTSAN,$0.00
20DS77767L,02/16/2020,5600 S WASHTENAW AVE,STRTSAN,$150.00
20DS77795L,01/22/2020,2525 W POPE JOHN PAUL II DR,STRTSAN,$0.00
20DS77795L,01/22/2020,2525 W POPE JOHN PAUL II DR,STRTSAN,$500.00
20DS77811L,02/15/2020,2612 W BARRY AVE,STRTSAN,$0.00
20DS77811L,02/15/2020,2612 W BARRY AVE,STRTSAN,$150.00
20DS78298L,01/22/2020,4601 S ROCKWELL ST,STRTSAN,$0.00
20DS78417L,01/22/2020,5628 S WESTERN AVE,STRTSAN,$150.00
20DS78494L,02/27/2020,5841 S OAKLEY AVE,STRTSAN,$0.00
20DS78494L,02/27/2020,5841 S OAKLEY AVE,STRTSAN,$500.00
20DS78494L,02/27/2020,5841 S OAKLEY AVE,STRTSAN,$600.00
20DS78578L,02/27/2020,4800 S HONORE ST,STRTSAN,$150.00
20DS78645L,02/28/2020,3037 W POPE JOHN PAUL II DR,STRTSAN,$150.00
20DS78649L,02/28/2020,3041 W POPE JOHN PAUL II DR,STRTSAN,$150.00
20DS78654L,02/28/2020,5013 S WINCHESTER AVE,STRTSAN,$0.00
20DS78668L,01/21/2020,5316 N MILWAUKEE AVE,STRTSAN,$150.00
20DS78676L,02/28/2020,5004 S WINCHESTER AVE,STRTSAN,$0.00
20DS79222L,01/22/2020,1756 W 48TH ST,STRTSAN,$150.00
21DS18451M,01/02/2021,6945 S CARPENTER ST,STRTSAN,$0.00
21DS18451M,01/02/2021,6945 S CARPENTER ST,STRTSAN,$600.00
21DS19106M,01/04/2021,801 S LAFLIN ST,STRTSAN,$150.00
21DS19144M,01/27/2021,7056 S PARNELL AVE,STRTSAN,$0.00
21DS19144M,01/27/2021,7056 S PARNELL AVE,STRTSAN,$500.00
21DS19144M,01/27/2021,7056 S PARNELL AVE,STRTSAN,$600.00
21DS19247M,02/05/2021,9037 S BISHOP ST,STRTSAN,$500.00
21DS19295M,02/09/2021,8307 S DR MARTIN LUTHER KING JR DR,STRTSAN,$150.00
21DS19296M,02/09/2021,8252 S DR MARTIN LUTHER KING JR DR,STRTSAN,$150.00
21DS19297M,02/09/2021,7601 S STATE ST,STRTSAN,$150.00
21DS19320M,02/11/2021,250 W 75TH ST,STRTSAN,$150.00
21DS19324M,02/11/2021,7105 S STATE ST,STRTSAN,$0.00
21DS19325M,02/11/2021,7108 S WABASH AVE,STRTSAN,$150.00
21DS19326M,02/11/2021,51 E 71ST ST,STRTSAN,$0.00
21DS19326M,02/11/2021,51 E 71ST ST,STRTSAN,$200.00
21DS19327M,02/11/2021,75 E 71ST ST,STRTSAN,$70.00
21DS19327M,02/11/2021,75 E 71ST ST,STRTSAN,$500.00
21DS19329M,02/11/2021,7101 S MICHIGAN AVE,STRTSAN,$500.00
21DS19329M,02/11/2021,7101 S MICHIGAN AVE,STRTSAN,$600.00
21DS19330M,02/11/2021,7100 S PRAIRIE AVE,STRTSAN,$150.00
21DS19331M,02/11/2021,547 E 71ST ST,STRTSAN,$500.00
21DS19332M,02/11/2021,605 E 71ST ST,STRTSAN,$150.00
21DS19333M,02/11/2021,7055 S ST LAWRENCE AVE,STRTSAN,$0.00
21DS19335M,02/11/2021,7059 S STATE ST,STRTSAN,$500.00
21DS19415M,02/11/2021,111 W 75TH ST,STRTSAN,$500.00
21DS19793M,01/26/2021,7030 S ASHLAND AVE,STRTSAN,$150.00
21DS19935M,02/22/2021,1415 W 76TH ST,STRTSAN,$500.00
21DS19964M,01/21/2021,6101 W DIVERSEY AVE,STRTSAN,$500.00
21DS19965M,01/21/2021,6107 W DIVERSEY AVE,STRTSAN,$150.00
21DS20180M,01/27/2021,5153 W DIVERSEY AVE,STRTSAN,$50.00
21DS20206M,01/29/2021,7356 N ASHLAND BLVD,STRTSAN,$150.00
21DS20227M,02/01/2021,5010 N AUSTIN AVE,STRTSAN,$150.00
21DS20234M,02/02/2021,5233 N KEDZIE AVE,STRTSAN,$150.00
21DS20236M,02/02/2021,2257 W FOSTER AVE,STRTSAN,$0.00
21DS20241M,02/02/2021,4257 S ARTESIAN AVE,STRTSAN,$150.00
21DS20252M,02/03/2021,3235 N CALIFORNIA AVE,STRTSAN,$150.00
21DS20255M,02/03/2021,2816 W IRVING PARK RD,STRTSAN,$50.00
21DS20257M,02/03/2021,2321 S KIRKLAND AVE,STRTSAN,$0.00
21DS20258M,02/03/2021,5035 N LINCOLN AVE,STRTSAN,$0.00
21DS20260M,02/03/2021,2449 W LAWRENCE AVE,STRTSAN,$150.00
21DS20262M,02/03/2021,5052 N ASHLAND AVE,STRTSAN,$150.00
21DS20267M,02/03/2021,5050 N LINCOLN AVE,STRTSAN,$0.00
21DS20279M,02/03/2021,5322 W FULLERTON AVE,STRTSAN,$150.00
21DS20281M,02/03/2021,2321 W FOSTER AVE,STRTSAN,$150.00
21DS20291M,02/04/2021,5956 W HIGGINS AVE,STRTSAN,$0.00
21DS20295M,02/04/2021,2807 W IRVING PARK RD,STRTSAN,$0.00
21DS20313M,02/04/2021,4856 S HERMITAGE AVE,STRTSAN,$50.00
21DS20339M,02/05/2021,1200 W BELMONT AVE,STRTSAN,$0.00
21DS20379M,02/08/2021,2257 W FOSTER AVE,STRTSAN,$50.00
21DS20384M,02/08/2021,5004 S WINCHESTER AVE,STRTSAN,$150.00
21DS20384M,02/08/2021,5004 S WINCHESTER AVE,STRTSAN,$300.00
21DS20400M,02/09/2021,5220 N LINCOLN AVE,STRTSAN,$150.00
21DS20483M,02/10/2021,100 N KEDZIE AVE,STRTSAN,$150.00
21DS20484M,02/10/2021,3220 W WASHINGTON BLVD,STRTSAN,$150.00
21DS20485M,02/10/2021,3222 W WASHINGTON BLVD,STRTSAN,$150.00
21DS20487M,02/10/2021,3311 W WASHINGTON BLVD,STRTSAN,$0.00
21DS20487M,02/10/2021,3311 W WASHINGTON BLVD,STRTSAN,$150.00
21DS20487M,02/10/2021,3311 W WASHINGTON BLVD,STRTSAN,$600.00
21DS20487M,02/10/2021,3311 W WASHINGTON BLVD,STRTSAN,"$1,000.00"
21DS20489M,02/10/2021,3328 W WASHINGTON BLVD,STRTSAN,$150.00
21DS20509M,02/10/2021,151 N CICERO AVE,STRTSAN,$0.00
21DS20509M,02/10/2021,151 N CICERO AVE,STRTSAN,$150.00
21DS20518M,02/10/2021,10 N KILBOURN AVE,STRTSAN,$150.00
21DS20541M,02/10/2021,3345 W WASHINGTON BLVD,STRTSAN,$150.00
21DS20544M,02/23/2021,6542 N CLARK ST,STRTSAN,$150.00
21DS20545M,02/23/2021,6550 N CLARK ST,STRTSAN,$500.00
21DS20596M,02/25/2021,6054 W SCHOOL ST,STRTSAN,$0.00
21DS20599M,02/25/2021,6105 S RICHMOND ST,STRTSAN,$0.00
21DS20610M,02/25/2021,619 E 43RD ST,STRTSAN,$50.00
21DS20610M,02/25/2021,619 E 43RD ST,STRTSAN,$500.00
21DS20615M,02/22/2021,6307 S ARTESIAN AVE,STRTSAN,$500.00
21DS20633M,02/22/2021,3238 W WALNUT ST,STRTSAN,$0.00
21DS20633M,02/22/2021,3238 W WALNUT ST,STRTSAN,$300.00
21DS20633M,02/22/2021,3238 W WALNUT ST,STRTSAN,$500.00
21DS20633M,02/22/2021,3238 W WALNUT ST,STRTSAN,$600.00
21DS20635M,02/22/2021,5048 S DAMEN AVE,STRTSAN,$0.00
21DS20651M,02/25/2021,4000 W DIVERSEY AVE,STRTSAN,$150.00
21DS20661M,02/24/2021,5956 W HIGGINS AVE,STRTSAN,$0.00
21DS20676M,02/22/2021,1500 W TAYLOR ST,STRTSAN,$50.00
21DS20685M,02/12/2021,4443 S ASHLAND AVE,STRTSAN,$150.00
21DS20686M,02/12/2021,4420 S ASHLAND AVE,STRTSAN,$500.00
21DS20686M,02/12/2021,4420 S ASHLAND AVE,STRTSAN,$600.00
21DS20687M,02/12/2021,1808 W 47TH ST,STRTSAN,$0.00
21DS20688M,02/12/2021,4601 S ASHLAND AVE,STRTSAN,$150.00
21DS20689M,02/12/2021,4412 S ASHLAND AVE,STRTSAN,$150.00
21DS20689M,02/12/2021,4412 S ASHLAND AVE,STRTSAN,$300.00
21DS20690M,02/12/2021,4412 S ASHLAND AVE,STRTSAN,$500.00
21DS20690M,02/12/2021,4412 S ASHLAND AVE,STRTSAN,$600.00
21DS20691M,02/12/2021,4412 S ASHLAND AVE,STRTSAN,$500.00
21DS20691M,02/12/2021,4412 S ASHLAND AVE,STRTSAN,$600.00
21DS20692M,02/12/2021,4416 S ASHLAND AVE,STRTSAN,$500.00
21DS20692M,02/12/2021,4416 S ASHLAND AVE,STRTSAN,$600.00
21DS20693M,02/12/2021,4426 S ASHLAND AVE,STRTSAN,$500.00
21DS20694M,02/12/2021,1614 W 47TH ST,STRTSAN,$150.00
21DS20699M,02/22/2021,2010 W 51ST ST,STRTSAN,$50.00
21DS20699M,02/22/2021,2010 W 51ST ST,STRTSAN,$500.00
21DS20719M,02/16/2021,100 N KEDZIE AVE,STRTSAN,$0.00
21DS20723M,02/24/2021,3956 W BELMONT AVE,STRTSAN,$500.00
21DS20730M,02/23/2021,618 E BOWEN AVE,STRTSAN,$150.00
21DS20733M,02/23/2021,656 E BOWEN AVE,STRTSAN,$500.00
21DS20734M,02/23/2021,716 E BOWEN AVE,STRTSAN,$150.00
21DS20741M,02/13/2021,932 W 59TH ST,STRTSAN,$0.00
21DS20741M,02/13/2021,932 W 59TH ST,STRTSAN,$100.00
21DS20741M,02/13/2021,932 W 59TH ST,STRTSAN,$500.00
21DS20750M,02/14/2021,100 N KEDZIE AVE,STRTSAN,$0.00
21DS20759M,02/25/2021,4318 S GREENWOOD AVE,STRTSAN,$500.00
21DS20784M,02/19/2021,1617 W DEVON AVE,STRTSAN,$150.00
21DS20792M,02/17/2021,5216 N LINCOLN AVE,STRTSAN,$500.00
21DS20793M,02/17/2021,2300 W 63RD ST,STRTSAN,$500.00
21DS20799M,02/19/2021,5500 S ARCHER AVE,STRTSAN,$150.00
21DS20801M,02/19/2021,5501 N ASHLAND AVE,STRTSAN,$500.00
21DS20805M,02/23/2021,2735 W LE MOYNE ST,STRTSAN,$150.00
21DS20805M,02/23/2021,2735 W LE MOYNE ST,STRTSAN,$200.00
21DS20805M,02/23/2021,2735 W LE MOYNE ST,STRTSAN,$300.00
21DS20811M,02/20/2021,6701 S RACINE AVE,STRTSAN,$150.00
21DS20811M,02/20/2021,6701 S RACINE AVE,STRTSAN,$250.00
21DS20821M,02/26/2021,4324 S DREXEL BLVD,STRTSAN,$0.00
21DS20821M,02/26/2021,4324 S DREXEL BLVD,STRTSAN,$150.00
21DS20826M,02/24/2021,2807 W IRVING PARK RD,STRTSAN,$150.00
21DS47172M,10/08/2021,6215 S MORGAN ST,STRTSAN,$100.00
22DS02242M,01/05/2022,51 E 71ST ST,STRTSAN,$50.00
22DS02242M,01/05/2022,51 E 71ST ST,STRTSAN,$500.00
22DS02244M,01/05/2022,7101 S MICHIGAN AVE,STRTSAN,$500.00
22DS02245M,01/05/2022,119 E 71ST ST,STRTSAN,$500.00
22DS02285M,01/05/2022,7101 S VINCENNES AVE,STRTSAN,$150.00
22DS02286M,01/05/2022,139 W 71ST ST,STRTSAN,$150.00
22DS02287M,01/05/2022,7108 S WABASH AVE,STRTSAN,$150.00
22DS02288M,01/05/2022,7059 S HALSTED ST,STRTSAN,$50.00
22DS02288M,01/05/2022,7059 S HALSTED ST,STRTSAN,$500.00
22DS02291M,01/05/2022,143 W 71ST ST,STRTSAN,$150.00
22DS02294M,01/05/2022,75 E 71ST ST,STRTSAN,$0.00
22DS02294M,01/05/2022,75 E 71ST ST,STRTSAN,$500.00
22DS02589M,01/05/2022,6637 S HALSTED ST,STRTSAN,$500.00
22DS02592M,01/05/2022,135 E 71ST ST,STRTSAN,$0.00
22DS02592M,01/05/2022,135 E 71ST ST,STRTSAN,$150.00
22DS02593M,01/05/2022,125 E 71ST ST,STRTSAN,$150.00
22DS02604M,01/06/2022,7358 S WABASH AVE,STRTSAN,$0.00
22DS02604M,01/06/2022,7358 S WABASH AVE,STRTSAN,$150.00
22DS02610M,01/05/2022,7100 S PRAIRIE AVE,STRTSAN,$150.00
22DS02616M,01/07/2022,549 E 79TH ST,STRTSAN,$150.00
22DS02618M,01/07/2022,601 E 79TH ST,STRTSAN,$150.00
22DS02619M,01/07/2022,7903 S RHODES AVE,STRTSAN,$50.00
22DS02628M,01/07/2022,211 E 79TH ST,STRTSAN,$150.00
22DS02629M,01/07/2022,207 E 79TH ST,STRTSAN,$500.00
22DS02631M,01/07/2022,343 E 79TH ST,STRTSAN,$50.00
22DS02652M,01/10/2022,7058 S EMERALD AVE,STRTSAN,$500.00
22DS02658M,01/10/2022,7000 S EMERALD AVE,STRTSAN,$500.00
22DS02681M,01/05/2022,7109 S INDIANA AVE,STRTSAN,$150.00
22DS02761M,01/07/2022,7901 S INDIANA AVE,STRTSAN,$0.00
22DS03137M,01/07/2022,351 E 79TH ST,STRTSAN,$500.00
22DS03368M,01/04/2022,1600 S ASHLAND AVE,STRTSAN,$50.00
22DS03373M,01/04/2022,2500 N AVERS AVE,STRTSAN,$150.00
22DS03373M,01/04/2022,2500 N AVERS AVE,STRTSAN,$200.00
22DS03373M,01/04/2022,2500 N AVERS AVE,STRTSAN,$300.00
22DS03381M,01/04/2022,2000 S ASHLAND AVE,STRTSAN,$150.00
22DS03391M,01/05/2022,6300 S DAMEN AVE,STRTSAN,$150.00
22DS03396M,01/05/2022,2101 W 63RD ST,STRTSAN,$50.00
22DS03398M,01/06/2022,5300 S WESTERN AVE,STRTSAN,$150.00
22DS03402M,01/06/2022,2157 W 21ST PL,STRTSAN,$150.00
22DS03406M,01/06/2022,4701 S WESTERN BLVD,STRTSAN,$500.00
22DS03407M,01/06/2022,2439 W 47TH ST,STRTSAN,$150.00
22DS03408M,01/06/2022,5035 S WESTERN BLVD,STRTSAN,$150.00
22DS03409M,01/06/2022,4260 S WESTERN AVE,STRTSAN,$150.00
22DS03410M,01/06/2022,5230 S WESTERN AVE,STRTSAN,$500.00
22DS03411M,01/06/2022,2425 W 47TH ST,STRTSAN,$150.00
22DS03412M,01/06/2022,5057 S WESTERN BLVD,STRTSAN,$150.00
22DS03413M,01/06/2022,4500 S WESTERN AVE,STRTSAN,$150.00
22DS03414M,01/06/2022,4354 S WESTERN AVE,STRTSAN,$150.00
22DS03415M,01/06/2022,4257 S ARTESIAN AVE,STRTSAN,$150.00
22DS03416M,01/06/2022,2441 W 47TH ST,STRTSAN,$150.00
22DS03417M,01/06/2022,4710 S WESTERN AVE,STRTSAN,$500.00
22DS03417M,01/06/2022,4710 S WESTERN AVE,STRTSAN,$600.00
22DS03418M,01/06/2022,4618 S WESTERN AVE,STRTSAN,$50.00
22DS03418M,01/06/2022,4618 S WESTERN AVE,STRTSAN,$500.00
22DS03421M,01/06/2022,4532 S WESTERN AVE,STRTSAN,$50.00
22DS03421M,01/06/2022,4532 S WESTERN AVE,STRTSAN,$500.00
22DS03422M,01/06/2022,4614 S WESTERN AVE,STRTSAN,$150.00
22DS03422M,01/06/2022,4614 S WESTERN AVE,STRTSAN,$500.00
22DS03423M,01/06/2022,4600 S WESTERN AVE,STRTSAN,$50.00
22DS03423M,01/06/2022,4600 S WESTERN AVE,STRTSAN,$500.00
22DS03424M,01/06/2022,4452 S WESTERN AVE,STRTSAN,$0.00
22DS03424M,01/06/2022,4452 S WESTERN AVE,STRTSAN,$250.00
22DS03425M,01/06/2022,4410 S WESTERN AVE,STRTSAN,$500.00
22DS03426M,01/06/2022,2433 W 47TH ST,STRTSAN,$500.00
22DS03427M,01/06/2022,2437 W 47TH ST,STRTSAN,$50.00
22DS03427M,01/06/2022,2437 W 47TH ST,STRTSAN,$500.00
22DS03433M,01/06/2022,1757 W 18TH ST,STRTSAN,$500.00
22DS03446M,01/09/2022,932 W 59TH ST,STRTSAN,$500.00
22DS03486M,01/05/2022,6651 S HALSTED ST,STRTSAN,$500.00
22DS03505M,01/25/2022,5528 S CARPENTER ST,STRTSAN,$500.00
22DS03505M,01/25/2022,5528 S CARPENTER ST,STRTSAN,$600.00
22DS03527M,01/05/2022,7105 S STATE ST,STRTSAN,$500.00
22DS03535M,01/25/2022,4955 S HOYNE AVE,STRTSAN,$50.00
22DS03542M,01/10/2022,2136 S ASHLAND AVE,STRTSAN,$50.00
22DS03558M,01/11/2022,4747 W GRACE ST,STRTSAN,$150.00
22DS03559M,01/11/2022,3180 N MILWAUKEE AVE,STRTSAN,$50.00
22DS03560M,01/12/2022,2000 W 22ND ST,STRTSAN,$150.00
22DS03561M,01/12/2022,2301 S LEAVITT ST,STRTSAN,$150.00
22DS03576M,01/12/2022,7110 N CLARK ST,STRTSAN,$50.00
22DS03577M,01/12/2022,7112 N CLARK ST,STRTSAN,$150.00
22DS03580M,01/12/2022,7441 N ROGERS AVE,STRTSAN,$150.00
22DS03583M,01/12/2022,7428 N ROGERS AVE,STRTSAN,$150.00
22DS03602M,01/12/2022,6714 S WESTERN AVE,STRTSAN,$0.00
22DS03602M,01/12/2022,6714 S WESTERN AVE,STRTSAN,$150.00
22DS03602M,01/12/2022,6714 S WESTERN AVE,STRTSAN,$300.00
22DS03602M,01/12/2022,6714 S WESTERN AVE,STRTSAN,$600.00
22DS03614M,01/12/2022,3301 N KARLOV AVE,STRTSAN,$500.00
22DS03683M,01/27/2022,371 E 75TH ST,STRTSAN,$50.00
22DS03685M,01/27/2022,7450 S DR MARTIN LUTHER KING JR DR,STRTSAN,$500.00
22DS03688M,01/26/2022,10813 S WALLACE ST,STRTSAN,$150.00
22DS03727M,01/14/2022,2101 N MELVINA AVE,STRTSAN,$0.00
22DS03727M,01/14/2022,2101 N MELVINA AVE,STRTSAN,$50.00
22DS03727M,01/14/2022,2101 N MELVINA AVE,STRTSAN,$500.00
22DS03741M,01/15/2022,2053 W 53RD ST,STRTSAN,$300.00
22DS03741M,01/15/2022,2053 W 53RD ST,STRTSAN,$500.00
22DS03741M,01/15/2022,2053 W 53RD ST,STRTSAN,$600.00
22DS03749M,01/15/2022,1620 W 59TH ST,STRTSAN,$50.00
22DS03757M,01/06/2022,5132 S WESTERN AVE,STRTSAN,$0.00
22DS03757M,01/06/2022,5132 S WESTERN AVE,STRTSAN,$50.00
22DS03835M,01/12/2022,3240 N KARLOV AVE,STRTSAN,$150.00
22DS03841M,01/27/2022,4257 S ARTESIAN AVE,STRTSAN,$0.00
22DS03841M,01/27/2022,4257 S ARTESIAN AVE,STRTSAN,$50.00
22DS03843M,01/27/2022,4949 S SEELEY AVE,STRTSAN,$150.00
22DS03847M,01/06/2022,5312 S WESTERN AVE,STRTSAN,$150.00
22DS03857M,01/25/2022,6151 W DIVERSEY AVE,STRTSAN,$150.00
22DS03862M,01/25/2022,1620 W 59TH ST,STRTSAN,$50.00
22DS03899M,01/27/2022,2010 W 51ST ST,STRTSAN,$50.00
22DS03906M,01/27/2022,4955 S HOYNE AVE,STRTSAN,$0.00
22DS03916M,01/25/2022,5519 S CARPENTER ST,STRTSAN,$0.00
22DS03916M,01/25/2022,5519 S CARPENTER ST,STRTSAN,$150.00
22DS03916M,01/25/2022,5519 S CARPENTER ST,STRTSAN,$300.00
22DS03916M,01/25/2022,5519 S CARPENTER ST,STRTSAN,$500.00
22DS03916M,01/25/2022,5519 S CARPENTER ST,STRTSAN,$600.00
22DS03916M,01/25/2022,5519 S CARPENTER ST,STRTSAN,$750.00
22DS03916M,01/25/2022,5519 S CARPENTER ST,STRTSAN,"$1,000.00"
22DS03916M,01/25/2022,5519 S CARPENTER ST,STRTSAN,"$5,000.00"
22DS03954M,01/28/2022,7953 S CHAMPLAIN AVE,STRTSAN,$500.00
22DS03968M,01/31/2022,4601 S ROCKWELL ST,STRTSAN,$500.00
22DS04067M,02/04/2022,7250 S EMERALD AVE,STRTSAN,$150.00
22DS04072M,02/04/2022,2819 N BURLING ST,STRTSAN,$150.00
22DS04080M,02/04/2022,932 W 59TH ST,STRTSAN,$300.00
22DS04080M,02/04/2022,932 W 59TH ST,STRTSAN,$600.00
22DS04082M,02/05/2022,6419 S MAY ST,STRTSAN,$300.00
22DS04086M,02/04/2022,1721 S PAULINA ST,STRTSAN,$300.00
22DS04087M,02/04/2022,7042 S MARSHFIELD AVE,STRTSAN,$150.00
22DS04087M,02/04/2022,7042 S MARSHFIELD AVE,STRTSAN,$300.00
22DS04088M,02/04/2022,4300 S ARCHER AVE,STRTSAN,$0.00
22DS04088M,02/04/2022,4300 S ARCHER AVE,STRTSAN,$500.00
22DS04089M,02/04/2022,1703 S PEORIA ST,STRTSAN,$150.00
22DS04092M,02/04/2022,900 W 18TH ST,STRTSAN,$150.00
22DS04094M,02/04/2022,1920 S LAFLIN ST,STRTSAN,$300.00
22DS04095M,02/04/2022,723 W BUCKINGHAM PL,STRTSAN,$0.00
22DS04123M,02/04/2022,6359 S ARTESIAN AVE,STRTSAN,$150.00
22DS04127M,02/09/2022,7101 S PERRY AVE,STRTSAN,$0.00
22DS04127M,02/09/2022,7101 S PERRY AVE,STRTSAN,$150.00
22DS04129M,02/09/2022,7104 S LAFAYETTE AVE,STRTSAN,$50.00
