SR_NUMBER,SR_SHORT_CODE,CREATED_DATE,STREET_ADDRESS,COMMUNITY_AREA,WARD,STATUS,ORIGIN,LATITUDE,LONGITUDE,SR_TYPE,CLOSED_DATE,year,month,date,season,GEOID,COMMUNITY_NAME
SR24-00090309,SWSNOREM,2024-01-15 16:06:45,2718 W EVERGREEN AVE,24,26,Open,Mobile Device,41.905872001,-87.69537,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,24,West Town
SR24-00077115,SWSNOREM,2024-01-12 15:36:15,652 N NOBLE ST,24,27,Open,Internet,41.894075449,-87.662410796,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,24,West Town
SR24-00082066,SWSNOREM,2024-01-13 17:31:52,1620 N MOZART ST,24,26,Open,Mobile Device,41.910957001,-87.69834,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,24,West Town
SR24-00082862,SWSNOREM,2024-01-13 23:38:38,1365 W CRYSTAL ST,24,1,Open,Internet,41.904243001,-87.6618405,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,24,West Town
SR24-00079420,SWSNOREM,2024-01-13 08:38:18,2143 W POTOMAC AVE,24,1,Open,Mobile Device,41.904756001,-87.6814605,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,24,West Town
SR24-00079425,SWSNOREM,2024-01-13 08:38:57,2141 W POTOMAC AVE,24,1,Open,Mobile Device,41.904747001,-87.681366,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,24,West Town
SR24-00079740,SWSNOREM,2024-01-13 09:31:35,652 N NOBLE ST,24,27,Open,Internet,41.894075449,-87.662410796,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,24,West Town
SR24-00079748,SWSNOREM,2024-01-13 09:32:57,916 N WINCHESTER AVE,24,36,Open,Internet,41.898294001,-87.676146,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,24,West Town
SR24-00089488,SWSNOREM,2024-01-15 13:43:26,19 E CEDAR ST,8,42,Open,Phone Call,41.902191001,-87.6275145,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,8,Near North Side
SR24-00089493,SWSNOREM,2024-01-15 13:43:44,21 E CEDAR ST,8,42,Open,Phone Call,41.902191001,-87.6273975,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,8,Near North Side
SR24-00089495,SWSNOREM,2024-01-15 13:43:56,25 E CEDAR ST,8,42,Open,Phone Call,41.902182001,-87.6272715,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,8,Near North Side
SR24-00073921,SWSNOREM,2024-01-12 10:35:31,800 N ORLEANS ST,8,27,Open,Phone Call,41.896612491,-87.63723507,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,8,Near North Side
SR24-00074082,SWSNOREM,2024-01-12 10:49:01,800 N ORLEANS ST,8,27,Open,Internet,41.896612491,-87.63723507,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,8,Near North Side
SR24-00074644,SWSNOREM,2024-01-12 11:40:15,1258 N STATE PKWY,8,2,Open,Mobile Device,41.905654689,-87.628799098,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,8,Near North Side
SR24-00079756,SWSNOREM,2024-01-13 09:34:04,1343 N CLEVELAND AVE,8,27,Open,Phone Call,41.906997001,-87.6406005,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,8,Near North Side
SR24-00081038,SWSNOREM,2024-01-13 13:18:05,1130 N DEARBORN ST,8,2,Open,Internet,41.902929001,-87.6304125,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,8,Near North Side
SR24-00081046,SWSNOREM,2024-01-13 13:19:07,69 W ELM ST,8,2,Open,Internet,41.903072221,-87.631120563,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,8,Near North Side
SR24-00082602,SWSNOREM,2024-01-13 21:17:28,300 W HURON ST,8,42,Open,Internet,41.895018001,-87.635889,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,8,Near North Side
SR24-00083899,SWSNOREM,2024-01-14 10:13:08,750 N CLARK ST,8,42,Open,Internet,41.896386001,-87.631569,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,8,Near North Side
SR24-00086592,SWSNOREM,2024-01-14 22:41:17,440 N LASALLE DR,8,42,Open,Internet,41.89040935,-87.632616294,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,8,Near North Side
SR24-00086608,SWSNOREM,2024-01-14 22:48:53,431 N WELLS ST,8,42,Open,Internet,41.890131001,-87.6336885,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,8,Near North Side
SR24-00086523,SWSNOREM,2024-01-14 22:17:20,25 E CEDAR ST,8,42,Open,Internet,41.902182001,-87.6272715,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,8,Near North Side
SR24-00086652,SWSNOREM,2024-01-14 23:09:19,111 W KINZIE ST,8,42,Open,Internet,41.889136036,-87.631579723,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,8,Near North Side
SR24-00090907,SWSNOREM,2024-01-15 20:02:57,739 N WABASH AVE,8,2,Open,Internet,41.896098001,-87.6266685,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,8,Near North Side
SR24-00090902,SWSNOREM,2024-01-15 20:00:50,1005 N LASALLE DR,8,2,Open,Internet,41.900723299,-87.63278771,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,8,Near North Side
SR24-00090897,SWSNOREM,2024-01-15 19:59:06,1021 N LASALLE DR,8,2,Open,Internet,41.901208107,-87.632794506,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,8,Near North Side
SR24-00090912,SWSNOREM,2024-01-15 20:04:43,40 E SUPERIOR ST,8,2,Open,Internet,41.895927001,-87.626655,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,8,Near North Side
SR24-00083293,SWSNOREM,2024-01-14 07:16:54,1343 N CLEVELAND AVE,8,27,Open,Phone Call,41.906997001,-87.6406005,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,8,Near North Side
SR24-00086544,SWSNOREM,2024-01-14 22:26:28,152 W ILLINOIS ST,8,42,Open,Internet,41.891112001,-87.633036,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,8,Near North Side
SR24-00080095,SWSNOREM,2024-01-13 10:32:23,60 E BELLEVUE PL,8,42,Completed,Internet,41.901822001,-87.6260565,Snow – Uncleared Sidewalk Complaint,2024-01-13 14:18:43,2024,1,2024-01-13,2023-2024,8,Near North Side
SR23-02072638,SWSNOREM,2023-11-30 10:14:24,5401 N MCVICKER AVE,11,45,Completed,Internet,41.979654001,-87.77898,Snow – Uncleared Sidewalk Complaint,2023-12-01 11:12:40,2023,11,2023-11-30,2023-2024,11,Jefferson Park
SR24-00058234,SWSNOREM,2024-01-10 10:09:10,4849 N LIPPS AVE,11,45,Completed,Mobile Device,41.969133001,-87.760152,Snow – Uncleared Sidewalk Complaint,2024-01-11 09:29:45,2024,1,2024-01-10,2023-2024,11,Jefferson Park
SR24-00078079,SWSNOREM,2024-01-12 18:53:46,5500 N MAJOR AVE,11,45,Open,Internet,41.981247001,-87.771096,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,11,Jefferson Park
SR24-00081122,SWSNOREM,2024-01-13 13:32:36,5118 W WINNEMAC AVE,11,45,Open,Internet,41.972706001,-87.7559895,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,11,Jefferson Park
SR24-00081535,SWSNOREM,2024-01-13 14:59:06,5654 W GUNNISON ST,11,45,Open,Internet,41.968872001,-87.7697145,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,11,Jefferson Park
SR24-00090578,SWSNOREM,2024-01-15 17:30:36,5001 W ARGYLE ST,11,45,Open,Internet,41.971419001,-87.752871,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,11,Jefferson Park
SR24-00084705,SWSNOREM,2024-01-14 13:08:45,5936 W WALTON ST,25,29,Open,Phone Call,41.897691001,-87.773949,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,25,Austin
SR24-00080571,SWSNOREM,2024-01-13 11:50:49,152 N MAYFIELD AVE,25,29,Open,Phone Call,41.883732001,-87.772338,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,25,Austin
SR24-00080986,SWSNOREM,2024-01-13 13:09:30,1518 N CENTRAL AVE,25,29,Open,Phone Call,41.908221001,-87.766182,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,25,Austin
SR24-00084699,SWSNOREM,2024-01-14 13:07:39,5937 W WALTON ST,25,29,Open,Phone Call,41.897268001,-87.773832,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,25,Austin
SR24-00084702,SWSNOREM,2024-01-14 13:08:23,5934 W WALTON ST,25,29,Open,Phone Call,41.897682001,-87.77385,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,25,Austin
SR24-00087385,SWSNOREM,2024-01-15 08:07:42,2059 N NORDICA AVE,25,29,Open,Mobile Device,41.918012341,-87.802347134,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,25,Austin
SR24-00081269,SWSNOREM,2024-01-13 14:02:04,2901 N KILPATRICK AVE,19,31,Open,Mobile Device,41.933529001,-87.7439475,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,19,Belmont Cragin
SR24-00081972,SWSNOREM,2024-01-13 16:57:26,2222 N NATCHEZ AVE,19,29,Open,Internet,41.920686001,-87.78807,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,19,Belmont Cragin
SR24-00085865,SWSNOREM,2024-01-14 18:15:22,3134 N AUSTIN AVE,19,30,Open,Mobile Device,41.937669001,-87.7764195,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,19,Belmont Cragin
SR24-00081354,SWSNOREM,2024-01-13 14:21:02,3546 W ADDISON ST,16,35,Open,Mobile Device,41.946732001,-87.7170105,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,16,Irving Park
SR24-00077717,SWSNOREM,2024-01-12 17:17:43,3700 W ADDISON ST,16,30,Open,Mobile Device,41.946687001,-87.720561,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,16,Irving Park
SR24-00078081,SWSNOREM,2024-01-12 18:54:18,4156 W BELLE PLAINE AVE,16,39,Open,Mobile Device,41.955624001,-87.7312755,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,16,Irving Park
SR24-00080167,SWSNOREM,2024-01-13 10:47:51,3923 N KEDZIE AVE,16,33,Open,Phone Call,41.952861001,-87.7076415,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,16,Irving Park
SR24-00080783,SWSNOREM,2024-01-13 12:22:00,3426 N MILWAUKEE AVE,16,30,Open,Mobile Device,41.943285001,-87.7311945,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,16,Irving Park
SR24-00081073,SWSNOREM,2024-01-13 13:23:53,3600 N KEDZIE AVE,16,33,Open,Mobile Device,41.946696067,-87.707886427,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,16,Irving Park
SR24-00081339,SWSNOREM,2024-01-13 14:17:50,4116 W ADDISON ST,16,30,Open,Mobile Device,41.946525001,-87.72993,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,16,Irving Park
SR24-00082935,SWSNOREM,2024-01-14 00:49:28,4028 N CENTRAL PARK AVE,16,45,Open,Internet,41.954760001,-87.7180995,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,16,Irving Park
SR24-00079760,SWSNOREM,2024-01-13 09:34:35,3954 W ADDISON ST,16,30,Open,Mobile Device,41.946462104,-87.727175722,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,16,Irving Park
SR24-00033667,SWSNOREM,2024-01-06 09:47:03,4015 W ARTHINGTON ST,26,24,Completed,Phone Call,41.869818001,-87.7260465,Snow – Uncleared Sidewalk Complaint,2024-01-08 09:57:27,2024,1,2024-01-06,2023-2024,26,West Garfield Park
SR24-00034163,SWSNOREM,2024-01-06 11:57:34,8738 S ESCANABA AVE,46,10,Completed,Phone Call,41.736150001,-87.554466,Snow – Uncleared Sidewalk Complaint,2024-01-10 13:59:24,2024,1,2024-01-06,2023-2024,46,South Chicago
SR24-00087497,SWSNOREM,2024-01-15 08:23:50,8722 S KINGSTON AVE,46,7,Open,Mobile Device,41.736519001,-87.562719,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,46,South Chicago
SR24-00034580,SWSNOREM,2024-01-06 13:39:20,3344 S PARNELL AVE,60,11,Completed,Phone Call,41.833116001,-87.640344,Snow – Uncleared Sidewalk Complaint,2024-01-08 13:03:43,2024,1,2024-01-06,2023-2024,60,Bridgeport
SR24-00034995,SWSNOREM,2024-01-06 15:27:05,3344 S PARNELL AVE,60,11,Completed,Mobile Device,41.833116001,-87.640344,Snow – Uncleared Sidewalk Complaint,2024-01-08 13:02:46,2024,1,2024-01-06,2023-2024,60,Bridgeport
SR24-00080098,SWSNOREM,2024-01-13 10:33:16,2995 S LYMAN ST,60,11,Completed,Phone Call,41.839713001,-87.6554685,Snow – Uncleared Sidewalk Complaint,2024-01-13 13:18:49,2024,1,2024-01-13,2023-2024,60,Bridgeport
SR24-00085723,SWSNOREM,2024-01-14 17:38:10,3440 S PARNELL AVE,60,11,Open,Internet,41.831442001,-87.640389,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,60,Bridgeport
SR24-00085729,SWSNOREM,2024-01-14 17:39:46,3446 S PARNELL AVE,60,11,Open,Internet,41.83133187,-87.640090796,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,60,Bridgeport
SR24-00085734,SWSNOREM,2024-01-14 17:40:44,3452 S PARNELL AVE,60,11,Open,Internet,41.831175847,-87.640089206,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,60,Bridgeport
SR24-00085736,SWSNOREM,2024-01-14 17:41:27,3458 S PARNELL AVE,60,11,Open,Internet,41.831172001,-87.6402585,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,60,Bridgeport
SR24-00085741,SWSNOREM,2024-01-14 17:42:45,3445 S PARNELL AVE,60,11,Open,Internet,41.831383483,-87.639976204,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,60,Bridgeport
SR24-00085746,SWSNOREM,2024-01-14 17:43:48,3453 S PARNELL AVE,60,11,Open,Internet,41.831178234,-87.639974629,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,60,Bridgeport
SR24-00085754,SWSNOREM,2024-01-14 17:45:28,3459 S PARNELL AVE,60,11,Open,Internet,41.831025812,-87.639970843,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,60,Bridgeport
SR24-00075090,SWSNOREM,2024-01-12 12:20:45,3440 S LOWE AVE,60,11,Completed,Phone Call,41.831397001,-87.64272,Snow – Uncleared Sidewalk Complaint,2024-01-12 14:48:41,2024,1,2024-01-12,2023-2024,60,Bridgeport
SR24-00044528,SWSNOREM,2024-01-08 12:03:44,9700 S OAKLEY AVE,72,19,Completed,Alderman's Office,41.717178001,-87.679863,Snow – Uncleared Sidewalk Complaint,2024-01-09 14:03:07,2024,1,2024-01-08,2023-2024,72,Beverly
SR24-00073064,SWSNOREM,2024-01-12 09:18:49,9245 S BELL AVE,72,19,Completed,Phone Call,41.725171912,-87.678497373,Snow – Uncleared Sidewalk Complaint,2024-01-12 13:32:28,2024,1,2024-01-12,2023-2024,72,Beverly
SR24-00053980,SWSNOREM,2024-01-09 14:35:56,6400 S RICHMOND ST,66,15,Completed,Internet,41.777127001,-87.6972465,Snow – Uncleared Sidewalk Complaint,2024-01-11 09:22:11,2024,1,2024-01-09,2023-2024,66,Chicago Lawn
SR24-00074513,SWSNOREM,2024-01-12 11:28:06,6402 S RICHMOND ST,66,15,Open,Internet,41.777055001,-87.6972465,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,66,Chicago Lawn
SR24-00083777,SWSNOREM,2024-01-14 09:43:55,3438 W 72ND ST,66,17,Open,Phone Call,41.762551814,-87.709235049,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,66,Chicago Lawn
SR24-00056027,SWSNOREM,2024-01-09 22:46:29,3845 N ORIOLE AVE,17,38,Completed,Mobile Device,41.950053001,-87.816654,Snow – Uncleared Sidewalk Complaint,2024-01-11 15:45:19,2024,1,2024-01-09,2023-2024,17,Dunning
SR24-00077295,SWSNOREM,2024-01-12 16:02:55,3559 N OCTAVIA AVE,17,38,Open,Phone Call,41.945085001,-87.8091525,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,17,Dunning
SR24-00081023,SWSNOREM,2024-01-13 13:15:54,3458 N NORDICA AVE,17,38,Open,Mobile Device,41.943384001,-87.803532,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,17,Dunning
SR24-00057259,SWSNOREM,2024-01-10 08:42:10,4300 W 84TH ST,70,18,Completed,Phone Call,41.740303787,-87.728976286,Snow – Uncleared Sidewalk Complaint,2024-01-12 12:42:33,2024,1,2024-01-10,2023-2024,70,Ashburn
SR24-00066760,SWSNOREM,2024-01-11 10:40:00,3821 W 83RD PL,70,18,Completed,Alderman's Office,41.741118001,-87.7177575,Snow – Uncleared Sidewalk Complaint,2024-01-12 12:27:24,2024,1,2024-01-11,2023-2024,70,Ashburn
SR24-00082616,SWSNOREM,2024-01-13 21:25:57,8655 S TRIPP AVE,70,18,Open,Phone Call,41.734998001,-87.7272885,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,70,Ashburn
SR24-00057672,SWSNOREM,2024-01-10 09:21:26,2112 S SPAULDING AVE,30,24,Open,Phone Call,41.853105001,-87.7080825,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-10,2023-2024,30,South Lawndale
SR24-00070077,SWSNOREM,2024-01-11 16:38:41,2628 W 25TH ST,30,25,Completed,Mobile Device,41.846760001,-87.6915945,Snow – Uncleared Sidewalk Complaint,2024-01-12 21:39:47,2024,1,2024-01-11,2023-2024,30,South Lawndale
SR24-00073522,SWSNOREM,2024-01-12 09:59:28,2451 S TRUMBULL AVE,30,22,Completed,Phone Call,41.846598001,-87.710904,Snow – Uncleared Sidewalk Complaint,2024-01-12 12:54:44,2024,1,2024-01-12,2023-2024,30,South Lawndale
SR24-00075406,SWSNOREM,2024-01-12 12:54:49,2112 S SPAULDING AVE,30,24,Open,Phone Call,41.853105001,-87.7080825,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,30,South Lawndale
SR24-00085097,SWSNOREM,2024-01-14 14:41:56,4257 W 26TH ST,30,22,Open,Phone Call,41.843862001,-87.731406,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,30,South Lawndale
SR24-00060930,SWSNOREM,2024-01-10 12:56:50,5601 S ST LOUIS AVE,63,14,Open,Mobile Device,41.791473001,-87.710598,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-10,2023-2024,63,Gage Park
SR24-00084298,SWSNOREM,2024-01-14 11:39:39,5730 S ARTESIAN AVE,63,15,Open,Mobile Device,41.789250001,-87.685407,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,63,Gage Park
SR24-00064941,SWSNOREM,2024-01-11 07:33:42,1800 N MOZART ST,22,26,Open,Internet,41.914044001,-87.6983985,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-11,2023-2024,22,Logan Square
SR24-00064959,SWSNOREM,2024-01-11 07:36:12,1802 N MOZART ST,22,26,Open,Internet,41.914107001,-87.698394,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-11,2023-2024,22,Logan Square
SR24-00075400,SWSNOREM,2024-01-12 12:53:58,1834 N SPAULDING AVE,22,26,Open,Phone Call,41.914755001,-87.710508,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,22,Logan Square
SR24-00076694,SWSNOREM,2024-01-12 14:46:44,2500 N DAMEN AVE,22,32,Open,Phone Call,41.927253315,-87.678167714,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,22,Logan Square
SR24-00077121,SWSNOREM,2024-01-12 15:36:35,2245 N KEDZIE AVE,22,35,Open,Internet,41.922468001,-87.706584,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,22,Logan Square
SR24-00077166,SWSNOREM,2024-01-12 15:41:54,1940 N HUMBOLDT BLVD,22,26,Open,Internet,41.916834001,-87.702696,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,22,Logan Square
SR24-00077757,SWSNOREM,2024-01-12 17:26:07,3322 W FULLERTON AVE,22,35,Open,Mobile Device,41.924970001,-87.7117725,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,22,Logan Square
SR24-00079823,SWSNOREM,2024-01-13 09:44:34,2255 N KEDZIE BLVD,22,35,Open,Internet,41.922713494,-87.707103458,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,22,Logan Square
SR24-00081562,SWSNOREM,2024-01-13 15:05:40,2839 W DICKENS AVE,22,1,Open,Mobile Device,41.919390001,-87.698835,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,22,Logan Square
SR24-00081986,SWSNOREM,2024-01-13 17:00:56,2700 N RICHMOND ST,22,1,Open,Internet,41.930370001,-87.701535,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,22,Logan Square
SR24-00082078,SWSNOREM,2024-01-13 17:34:30,1857 N MOZART ST,22,26,Open,Mobile Device,41.915556001,-87.697944,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,22,Logan Square
SR24-00082163,SWSNOREM,2024-01-13 17:58:29,2441 N AVERS AVE,22,35,Open,Internet,41.925798001,-87.722865,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,22,Logan Square
SR24-00082381,SWSNOREM,2024-01-13 19:37:19,1927 N DRAKE AVE,22,26,Open,Phone Call,41.916330001,-87.7146525,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,22,Logan Square
SR24-00082603,SWSNOREM,2024-01-13 21:17:45,1917 W FULLERTON AVE,22,32,Open,Phone Call,41.924898001,-87.6764835,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,22,Logan Square
SR24-00085031,SWSNOREM,2024-01-14 14:24:40,2255 N KEDZIE BLVD,22,35,Open,Internet,41.922713494,-87.707103458,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,22,Logan Square
SR24-00086801,SWSNOREM,2024-01-15 01:16:53,3531 W PALMER ST,22,35,Open,Mobile Device,41.920794001,-87.7149045,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,22,Logan Square
SR24-00088305,SWSNOREM,2024-01-15 10:21:15,2255 N KEDZIE BLVD,22,35,Open,Internet,41.922713494,-87.707103458,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,22,Logan Square
SR24-00073284,SWSNOREM,2024-01-12 09:39:23,2027 W ARMITAGE AVE,22,32,Open,Mobile Device,41.917554001,-87.678702,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,22,Logan Square
SR24-00086566,SWSNOREM,2024-01-14 22:34:09,2044 N OAKLEY AVE,22,32,Open,Internet,41.918971481,-87.685062682,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-14,2023-2024,22,Logan Square
SR24-00081329,SWSNOREM,2024-01-13 14:16:08,2027 W ARMITAGE AVE,22,32,Open,Mobile Device,41.917554001,-87.678702,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,22,Logan Square
SR24-00079969,SWSNOREM,2024-01-13 10:09:31,2249 N KEDZIE AVE,22,35,Open,Internet,41.922603001,-87.706584,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,22,Logan Square
SR24-00073945,SWSNOREM,2024-01-12 10:38:54,1785 W LAWRENCE AVE,4,47,Open,Phone Call,41.968822479,-87.674753073,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,4,Lincoln Square
SR24-00075892,SWSNOREM,2024-01-12 13:36:38,4418 N ROCKWELL ST,4,47,Open,Mobile Device,41.961933001,-87.6938895,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,4,Lincoln Square
SR24-00075924,SWSNOREM,2024-01-12 13:39:08,2601 W SUNNYSIDE AVE,4,47,Open,Mobile Device,41.962896001,-87.6938535,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,4,Lincoln Square
SR24-00075992,SWSNOREM,2024-01-12 13:45:09,2555 W EASTWOOD AVE,4,47,Open,Mobile Device,41.965632651,-87.693481468,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,4,Lincoln Square
SR24-00076010,SWSNOREM,2024-01-12 13:47:01,2525 W EASTWOOD AVE,4,47,Open,Mobile Device,41.965488001,-87.692319,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,4,Lincoln Square
SR24-00076069,SWSNOREM,2024-01-12 13:52:34,4623 N WESTERN AVE,4,47,Open,Mobile Device,41.965623001,-87.6884985,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,4,Lincoln Square
SR24-00077253,SWSNOREM,2024-01-12 15:56:17,4525 N ROCKWELL ST,4,47,Open,Mobile Device,41.963895001,-87.6933405,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,4,Lincoln Square
SR24-00087334,SWSNOREM,2024-01-15 08:01:36,5530 N CAMPBELL AVE,4,40,Open,Phone Call,41.982273001,-87.6921165,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,4,Lincoln Square
SR24-00088280,SWSNOREM,2024-01-15 10:18:43,1925 W WINNEMAC AVE,4,40,Open,Internet,41.97322276,-87.677399972,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,4,Lincoln Square
SR24-00075943,SWSNOREM,2024-01-12 13:40:19,2548 W SUNNYSIDE AVE,4,47,Open,Mobile Device,41.963283001,-87.693291,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,4,Lincoln Square
SR24-00076031,SWSNOREM,2024-01-12 13:49:21,2457 W EASTWOOD AVE,4,47,Open,Mobile Device,41.965470001,-87.691014,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,4,Lincoln Square
SR24-00074191,SWSNOREM,2024-01-12 10:57:31,3055 W WARREN BLVD,27,27,Open,Internet,41.881716001,-87.703398,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,27,East Garfield Park
